2026-03-13 05:46:46 | DEBUG    | alphaBT.__main__ | File logging initialized: ../backtesting_results/run_20260313_054646/backtest_log.txt
2026-03-13 05:46:46 | INFO     | alphaBT.__main__ | Configuration saved to: ../backtesting_results/run_20260313_054646/config_used.yaml
2026-03-13 05:46:46 | INFO     | alphaBT.reporting.report_writer | Generating consolidated backtest report...
2026-03-13 05:46:46 | INFO     | alphaBT.reporting.report_writer | Computing portfolio metrics...
2026-03-13 05:46:46 | INFO     | alphaBT.reporting.report_writer | Computing benchmark metrics...
2026-03-13 05:46:46 | INFO     | alphaBT.reporting.report_writer | Computing periodic performance...
2026-03-13 05:46:46 | INFO     | alphaBT.reporting.report_writer | Computing rolling performance...
2026-03-13 05:46:47 | INFO     | alphaBT.reporting.report_writer | Computing calendar year performance...
2026-03-13 05:46:47 | INFO     | alphaBT.reporting.report_writer | Computing trailing returns...
2026-03-13 05:46:47 | INFO     | alphaBT.reporting.report_writer | Computing up/down months...
2026-03-13 05:46:47 | INFO     | alphaBT.reporting.report_writer | Computing quarter analysis...
2026-03-13 05:46:47 | INFO     | alphaBT.reporting.report_writer | Computing regime returns...
2026-03-13 05:46:47 | INFO     | alphaBT.reporting.report_writer | Computing quarterly alpha...
2026-03-13 05:46:47 | INFO     | alphaBT.reporting.report_writer | Computing cash metrics...
2026-03-13 05:46:47 | INFO     | alphaBT.reporting.report_writer | Computing churn analysis...
2026-03-13 05:46:47 | INFO     | alphaBT.reporting.report_writer | Computing stock counts by market cap...
2026-03-13 05:46:47 | INFO     | alphaBT.reporting.report_writer | Creating charts...
2026-03-13 05:46:51 | INFO     | alphaBT.reporting.report_writer | Writing Excel workbook...
2026-03-13 05:46:51 | INFO     | alphaBT.reporting.report_writer | Report saved to: ../backtesting_results/run_20260313_054646/backtest_report_20260313_054646.xlsx
2026-03-13 05:46:51 | INFO     | alphaBT.__main__ | ============================================================
2026-03-13 05:46:51 | INFO     | alphaBT.__main__ | BACKTESTING COMPLETE
2026-03-13 05:46:51 | INFO     | alphaBT.__main__ | ============================================================
2026-03-13 05:46:51 | INFO     | alphaBT.__main__ | All outputs saved to: ../backtesting_results/run_20260313_054646
2026-03-13 05:46:51 | INFO     | alphaBT.__main__ | Files generated:
2026-03-13 05:46:51 | INFO     | alphaBT.__main__ |   - config_used.yaml (configuration traceability)
2026-03-13 05:46:51 | INFO     | alphaBT.__main__ |   - backtest_report.xlsx (metrics, charts, trade data — all in one)
2026-03-13 05:46:51 | INFO     | alphaBT.__main__ |   - backtest_log.txt (full execution log)
2026-03-13 05:46:51 | INFO     | alphaBT.__main__ | End time: 2026-03-13 05:46:51
2026-03-13 05:46:51 | INFO     | alphaBT.__main__ | Total execution time: 3m 14.96s
